"","Cohort","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100","2101","2102","2103","2104","2105","2106","2107","2108","2109","2110","2111","2112","2113","2114","2115","2116","2117","2118","2119","2120","2121","2122","2123","2124","2125","2126","2127","2128","2129","2130","2131","2132","2133","2134","2135","2136","2137","2138","2139","2140","2141","2142","2143","2144","2145","2146","2147","2148","2149","2150"
"30",1934,10307454054.8748,9948593389.82661,9536002582.31738,9084543573.03195,8605687588.74626,8099415592.37711,7556656129.93619,6970082256.86453,6348416841.75099,5700483446.97112,5039676288.72379,4377414300.83963,3730279010.48288,3112752191.44298,2537483829.196,2013949271.30484,1548209722.2665,1148583258.03073,818196432.065794,1601067736.75277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1935,11192856961.2019,10851442737.3761,10474574047.7724,10046238401.3427,9594705812.53594,9113394297.35435,8592019460.9393,8021610117.67802,7404350512.46993,6749308634.95874,6065691110.93427,5367337502.25246,4666460622.43788,3980617142.72253,3325078496.56325,2713442036.78433,2153384509.66997,1657349469.99062,1231154313.55106,878250174.631297,1690851370.26953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1936,11449428685.1722,11127485110.1628,10802985599.5007,10428106977.1874,10029045815.4501,9601029402.92501,9134112383.38152,8616780430.07717,8050084634.75135,7435900703.57184,6783507505.68905,6101624033.6183,5404149501.23361,4703023002.60856,4015919926.98963,3358127488.81882,2740154457.71467,2177126390.26659,1677693121.18285,1247911448.55437,891453116.290902,1763301261.45028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1937,12095432092.8727,11844186078.0788,11531291709.7459,11199238621.8868,10832189794.7274,10438928346.0467,10008021524.6715,9525776321.56258,8990812102.16523,8404088331.97452,7767589086.1828,7090767803.90078,6382532621.89841,5657227110.10009,4927220698.55773,4210832507.48113,3519924764.10672,2874635494.24153,2286105688.27681,1763535229.29167,1313278215.796,939386811.727673,1847401893.35503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1938,12405522077.9506,12205565438.5943,11948868930.709,11637052424.727,11313555670.3306,10962939144.2935,10580423031.3882,10148642391.5368,9664743725.29561,9127172952.74256,8536862230.77588,7895634933.32446,7213152864.59339,6498100766.53988,5764716335.75884,5025487351.09908,4293782978.20224,3592850114.64538,2937280715.4874,2338470763.44051,1806032845.29225,1346638423.71157,964573648.482949,1924331204.64792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1939,12978543496.3306,12789992956.6047,12568394121.4259,12308163635.985,12016652774.0443,11702354931.4283,11355627481.4877,10964363357.7836,10522027080.682,10025522555.6356,9473268400.86003,8865978796.87315,8205561294.1411,7501831327.28449,6763533203.61697,6005262751.07793,5233612537.44904,4475769358.1545,3748776033.7232,3067793153.20965,2444958005.381,1890422700.34167,1411302879.55066,1012281298.35924,2011706235.40782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1940,13471177652.8793,13358259414.0088,13169902630.9092,12948443392.3332,12687342821.3443,12405936446.4372,12098263073.5829,11744972146.074,11345662659.1163,10893435211.9771,10385132831.3788,9818862280.94353,9195301306.35334,8516316367.6177,7792077082.96442,7031121254.22911,6240919234.99453,5444095307.2964,4660333068.82712,3907330645.44748,3200971691.14186,2553949649.598,1977005219.81528,1477817741.47142,1061479723.88536,2107403240.23021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1941,13193896066.115,13063296584.6044,12930015765.0883,12743845643.2333,12523541523.2542,12287959385.3655,12031388946.8803,11737704803.87,11399647682.7864,11017130671.2712,10583254025.5352,10094796766.8907,9549964670.99492,8949302395.43703,8294328409.57759,7594918121.63904,6850886705.70598,6086562209.32258,5314530731.76115,4554054680.47692,3822294850.14746,3134807608.176,2504112860.15315,1940825696.8622,1452637388.31458,1044848345.55901,2160821417.20351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1942,12929588898.8414,12820670521.615,12694014745.4394,12560610899.927,12378442886.1285,12178755553.4691,11964443018.4637,11718150232.2309,11435730971.3315,11109992388.0989,10741038680.4788,10321995827.7254,9849701151.42474,9322356984.76764,8740494709.64052,8105294651.62128,7417649024.4158,6695517249.84253,5952878461.904,5201823257.20073,4461066043.62128,3747424263.52113,3076229562.63221,2459684255.46642,1908357144.74964,1430004096.99434,1028162898.39244,2188571912.44435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1943,14783789162.9094,14675250396.4713,14555516367.0239,14411505146.778,14233477730.8181,14044705674.0886,13836598072.8036,13598410643.1946,13323947831.1266,13008399149.4128,12643943968.4003,12230059176.6342,11759249484.7935,11227706975.0775,10633178065.0269,9976100658.17561,9246750105.61647,8468799417.05521,7650564889.94659,6807784623.28493,5954387997.37956,5111398895.4063,4297962606.98157,3531654630.06709,2826756417.3577,2195627618.34543,1644586107.19294,1183982853.46264,2315921974.74543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1944,16259082265.1054,16165450170.8474,16046950858.5036,15916099117.4063,15749526551.0519,15573224434.8039,15387012125.6416,15165103643.8729,14910404440.1164,14616005628.7858,14276702257.0558,13884023182.152,13437066396.3374,12927560015.7971,12351273776.2732,11705560783.3847,10977289233.8742,10183069489.103,9334703488.81019,8440943413.44475,7518745300.15398,6583468951.88051,5657964165.17554,4763201917.99578,3918706956.00462,3140526320.60023,2438457283.54068,1828905300.65108,1318517769.76813,2497852825.37979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1945,17012583833.1264,16952863298.6165,16867092289.8701,16748097890.8804,16601264054.6097,16444709783.4585,16281413176.7247,16092344204.8487,15866046724.376,15605481944.1024,15303617330.3937,14954892501.431,14550600841.3931,14089476702.1622,13562865052.6657,12966139902.4068,12281591536.22,11525625548.6072,10700049323.0291,9816900425.89618,8885243567.46673,7922316360.85133,6944217135.78684,5974722951.33056,5035698710.75437,4147816737.91151,3322781220.41702,2583215998.4017,1940046283.2441,1400576573.31667,2682048423.84519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1946,17742895827.9452,17675141205.7931,17599891758.458,17509307521.4844,17381762261.0337,17246023306.5383,17104528736.3049,16939780795.9385,16748370880.1753,16518305252.6325,16252815814.3836,15944438677.1152,15587565680.8643,15172972178.5366,14699304834.6317,14157376667.7482,13525961576.9293,12819572103.851,12038409146.6208,11184174721.2519,10269307751.3282,9302742793.622,8302275686.83452,7284500560.91406,6274032705.40972,5293697448.62141,4358059639.53845,3495215885.93124,2720583568.09466,2045825411.07333,1478956585.78113,2865766855.76305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1947,23876505794.4301,23811386194.6129,23738381713.5683,23640030970.301,23501312289.7954,23353432393.1205,23201212739.7154,23019313919.6896,22805765750.6585,22555699427.0085,22255676944.5135,21907472795.1082,21501804119.6179,21030794807.2014,20483079650.8872,19854849617.2976,19111591277.2789,18271051565.8577,17328856599.421,16284864332.2957,15141680384.6282,13915225925.4847,12617246559.9707,11270898519.5178,9899456444.11684,8535358324.73659,7197650775.76529,5931688194.70297,4762418495.65134,3711146062.7701,2794163556.86928,2022563810.76416,3366912889.13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1948,25666575249.568,25646867631.095,25588290803.8746,25508865480.7566,25388716465.1309,25260946594.1564,25132015056.0597,24974757288.4367,24785743820.6978,24562668735.7834,24300459269.1483,23985001593.204,23617876116.7501,23189133901.897,22690440024.4529,22109345528.0486,21415644088.955,20624306263.855,19728030632.3304,18721828299.3194,17605305255.2459,16381114432.2627,15066104917.297,13672385571.4265,12224403783.2572,10747372400.436,9260643849.36289,7817402134.69775,6449403347.43713,5183881017.52242,4044299441.64131,3048824968.6178,2209825216.08332,3845732057.84373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1949,0,26630925276.5948,26587162579.739,26520939946.1961,26423710875.5829,26320005628.7077,26218160786.2163,26090452583.0685,25933480192.1222,25743612801.984,25518549533.1695,25253082277.5071,24932771690.3598,24559082310.6163,24121767030.9329,23611963959.2491,22989061476.787,22277448551.884,21464488719.2371,20542363687.569,19505652495.4297,18353750039.5481,17089164478.1671,15729258117.0817,14285921565.7317,12784158724.1955,11231561376.2046,9687177263.23268,8185722541.82543,6760340478.51202,5439781895.69196,4248834100.99483,3206931516.01587,2327470373.56232,4262497224.15531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1950,0,0,27229758353.2902,27175419971.146,27099753268.8479,27021819684.5583,26947675911.3193,26850147858.0529,26726261193.1635,26572423021.2944,26385133463.7527,26162116019.9323,25898079350.3257,25578194443.3277,25204090104.0005,24765160471.1451,24223092705.6781,23594893231.397,22876008470.5075,22053269610.0638,21118433872.6123,20065828547.6103,18894334671.1292,17606337120.9888,16219334443.5912,14744958443.3659,13186750022.1964,11597629862.3621,10014279412.0861,8472155086.46951,7005494153.50287,5644182490.06357,4414287163.22707,3336331902.60611,2424776220.39883,4623088667.55501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1951,0,0,0,28227113782.4196,28173320144.2348,28115622095.0612,28067197731.2951,27996310957.2811,27901187431.8166,27778583734.0463,27625177924.1757,27437189967.9419,27212354759.726,26945126135.083,26620449874.3413,26239755501.6655,25760944834.2771,25206408072.0781,24562764199.4851,23824845268.9697,22979142746.2049,22016776172.3661,20931482635.9485,19721985713.8257,18390421504.6905,16954773894.9689,15401149995.4924,13785713524.5717,12135863127.1892,10489473084.4017,8883436419.73549,7353589901.78271,5931294649.38887,4644343335.78828,3514569268.7837,2557720208.26768,4981069986.09672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1952,0,0,0,0,27666451000.0274,27634226701.9137,27609119307.4537,27567188221.5929,27503112106.0278,27415020206.8915,27300142630.3262,27155035633.7412,26976327985.1476,26761710789.3683,26506026913.7366,26193831762.7598,25795924620.8304,25333197749.7139,24796437618.6561,24172284483.582,23455881854.5418,22633552777.2325,21696404943.7381,20638230710.247,19457410790.1957,18155673681.3438,16723155819.4953,15202630272.3374,13619686094.8065,12000609921.7144,10382608051.3796,8801881414.66509,7293825910.96715,5889643205.90889,4617096303.14284,3498263557.61213,2555005148.89369,5234332986.09849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1953,0,0,0,0,0,28800504916.7882,28800078413.6344,28779814648.9383,28742060273.5772,28681045495.8041,28595221836.124,28481587925.0605,28336839937.3127,28157239964.1097,27940691826.8597,27681540157.7265,27331072726.6212,26924471558.3796,26450662927.4026,25899988511.9321,25258624472.7772,24521191711.4794,23673312754.2151,22705541382.5923,21611037998.1667,20387822620.9829,19006225492.1179,17520196652.3917,15940734778.5763,14293845423.9598,12606973423.6101,10918450971.7604,9266141867.35589,7687102041.50247,6214447904.20531,4877617484.82448,3708799133.65781,2712465049.20696,5525224330.26781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1954,0,0,0,0,0,0,28961811539.0171,28967313105.3875,28952755826.2661,28920319244.8877,28864479709.7729,28783820070.0655,28675440497.7544,28535976350.6211,28361904695.6164,28150943774.0046,27863858057.0088,27518712955.4607,27117531279.2936,26649143167.8184,26103877468.1982,25467719829.82,24735086381.3735,23891267976.6755,22926604178.8433,21834012901.7414,20577283175.1146,19195837575.0596,17708409854.2251,16125335784.1367,14472440267.3798,12776851334.2887,11076881127.2337,9410712395.08723,7815872637.32124,6325946014.07866,4982523260.21091,3793499543.49263,2778194299.61049,5779807525.91049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1955,0,0,0,0,0,0,0,30147315181.283,30158536650.806,30148350355.0472,30119681223.0326,30066781144.1147,29988312233.3394,29881216355.5137,29742163091.2204,29567329885.9546,29319024474.6876,29026995031.3624,28675012296.4227,28264965986.0562,27785409091.1723,27226165478.1875,26572605468.3279,25818721713.938,24949112911.643,23953445193.2294,22786640136.0847,21487189304.7632,20057283590.0928,18516031140.1866,16873626656.1364,15156456890.1044,13392522472.08,11621586189.2049,9883188793.95923,8216645573.32523,6672643355.94141,5261596618.2818,4010938605.16749,2941348729.75534,6076700335.86448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1956,0,0,0,0,0,0,0,0,30831514893.1994,30848399008.8229,30843422535.8198,30819545113.5262,30771039156.7759,30696663886.6573,30593504497.6224,30457865891.4726,30249499250.4897,30002507323.5468,29711169020.7951,29359014857.2964,28947909061.2833,28466194726.8954,27903428997.1042,27244473869.0711,26483059076.3977,25603342430.1171,24554015232.1676,23370933928.1434,22051748122.3208,20598231581.5404,19029763076.3347,17356077337.8338,15603719613.788,13801013746.8128,11988282126.396,10206049353.7211,8513931274.43874,6922346399.30065,5465323283.59106,4171599544.7448,3063330607.9351,6375393001.44248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1957,0,0,0,0,0,0,0,0,0,31817534908.8477,31839543166.5961,31838926757.1727,31819006092.1838,31773953705.4138,31702629427.2431,31601707835.2031,31429639509.8171,31220445835.8749,30971775075.222,30677506687.0643,30321184770.7497,29904410176.0574,29415161273.571,28842657903.6714,28171266105.335,27394096371.1194,26451428156.5605,25378266116.9868,24166908827.372,22814709937.1416,21323280150.9091,19712453622.3007,17991520719.8015,16187419113.7315,14329092619.1199,12457882500.5813,10639799502.0583,8884605880.34761,7231296827.5887,5715546365.0355,4367742695.32913,3211408185.43685,6693917679.8304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
